Time,Time Code,Country Name,Country Code,"Population ages 0-14, total [SP.POP.0014.TO]","Population ages 15-64, total [SP.POP.1564.TO]","Population ages 65 and above, total [SP.POP.65UP.TO]","Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],Population density (people per sq. km of land area) [EN.POP.DNST],Rural population [SP.RUR.TOTL],Urban population (% of total) [SP.URB.TOTL.IN.ZS]
2013,YR2013,Denmark,DNK,970554,3632214,1012164,5614932,0.416901360752097,133.720695403668,713546,87.292
2013,YR2013,Belgium,BEL,1893879,7299383,1989556,11182817,0.489184301296706,369.313639365918,247252,97.789
2013,YR2013,China,CHN,239690065,995254240,122435695,1357380000,0.49370963351136,144.583456848168,637792141,53.013
2013,YR2013,Japan,JPN,16755951,79299566,31389483,127445000,-0.144271883387076,349.585802062761,11182024,91.226
2013,YR2013,India,IND,378168020,831445906,68948281,1278562207,1.21941894433091,430.03044104144,869383944,32.003
2013,YR2013,Indonesia,IDN,71407029,168073394,12551840,252032263,1.2573268411205,139.123667868203,121088901,51.955
2013,YR2013,Singapore,SGP,874622,3959858,564681,5399162,1.61930809858875,7636.72135785007,0,100
2013,YR2013,"Korea, Rep.",KOR,7385836,36992240,6050818,50428893,0.455218622164662,517.399841996183,9188649,81.779
2013,YR2013,Thailand,THA,12624659,48827392,6691014,68143065,0.439874966693248,133.381089862788,36665739,46.193
2013,YR2013,Philippines,PHL,32332411,61829276,4319345,98481032,1.65287532839452,330.284844216387,53275284,45.903
2013,YR2013,Malaysia,MYS,7724138,20358600,1623986,29706724,1.82170012344616,90.4176654999239,8041610,72.93
2014,YR2014,Germany,DEU,10663088,53327698,16991714,80982500,0.416877359168292,232.108053883634,18472108,77.19
2014,YR2014,France,FRA,12149231,41907923,12258938,66316092,0.479814388342675,121.112673201146,13665094,79.394
2014,YR2014,Spain,ESP,6925459,30946615,8608808,46480882,-0.298951059088036,92.9227364506907,9590865,79.366
2014,YR2014,Switzerland,CHE,1209866,5521093,1457690,8188649,1.22010397343287,207.223630934305,2153942,73.696
2014,YR2014,Sweden,SWE,1655180,6161002,1879929,9696110,0.992219728591882,23.8052343423928,1333506,86.247
2014,YR2014,Italy,ITA,8388695,39035661,13364784,60789140,0.917504095962437,206.667369279935,18679287,69.272
2014,YR2014,United Kingdom,GBR,11330875,41744392,11537892,64613160,0.753349499398544,267.073781672385,11394531,82.365
2014,YR2014,Denmark,DNK,961254,3634215,1048006,5643475,0.507053283010163,134.400452488688,710514,87.41
2014,YR2014,Belgium,BEL,1900992,7292570,2015494,11209057,0.234370843738166,370.180217965654,242900,97.833
2014,YR2014,China,CHN,241219542,996046584,127003874,1364270000,0.506311591779847,145.317355990401,624030741,54.259
2014,YR2014,Japan,JPN,16628514,78379970,32267516,127276000,-0.132694222147042,349.122229536976,11067921,91.304
2014,YR2014,India,IND,376631361,846013020,71214913,1293859294,1.18932821143382,435.175449264931,874855900,32.384
2014,YR2014,Indonesia,IDN,71754933,170545175,12831008,255131116,1.22204863107965,140.834257577681,120842853,52.635
2014,YR2014,Singapore,SGP,866567,3998397,604760,5469724,1.29844017799226,7714.7023977433,0,100
